mslug	Metal Slug - Super Vehicle-001
mslug2	Metal Slug 2 - Super Vehicle-001/II
mslug3	Metal Slug 3
mslug4	Metal Slug 4
mslug5	Metal Slug 5
mslugx	Metal Slug X - Super Vehicle-001
sf2	Street Fighter II: The World Warrior
sf2ce	Street Fighter II': Champion Edition
sf2hf	Street Fighter II': Hyper Fighting
ssf2	Super Street Fighter II: The New Challengers
ssf2t	Super Street Fighter II Turbo
tmnt	Teenage Mutant Ninja Turtles
tmnt2	Teenage Mutant Ninja Turtles: Turtles in Time
simpsons	The Simpsons
xmen	X-Men
mvc	Marvel vs. Capcom: Clash of Super Heroes
msh	Marvel Super Heroes
mshvsf	Marvel Super Heroes Vs. Street Fighter
xmcota	X-Men: Children of the Atom
xmvsf	X-Men Vs. Street Fighter
